"","Ctrl1","Ctrl2","Ctrl3","Ctrl4","MOR1","MOR2","MOR3","MOR4"
"ENSMUSG00000025491",31.31,14.49,17.71,7.67,5,4.67,6.51,4.75
"ENSMUSG00000025492",44.17,24.98,46.45,21.68,13.05,12.45,12.49,13
"ENSMUSG00000025494",0.87,0.79,0.74,0.39,0.75,0.72,1.38,0.56
"ENSMUSG00000025495",29.44,26.99,26.99,27.2,24.81,32.59,32.58,30.94
"ENSMUSG00000025496",0.19,0.1,0.27,0.09,0.02,0.19,0.08,0.05
"ENSMUSG00000025497",0.24,0.07,0.05,0,0,0.03,0,0
"ENSMUSG00000025498",1.26,1.24,1.48,0.43,0.99,0.43,0.14,0.78
"ENSMUSG00000025499",21.84,20.73,16.01,20.77,18.11,16.97,22.88,12.08
"ENSMUSG00000025500",0,0.13,0,0,0.07,0,0,0
"ENSMUSG00000025503",109.77,99.13,98.05,88.35,115.48,107.82,112.56,115.57
"ENSMUSG00000025504",0.56,0.78,0.94,0.74,0.98,0.32,0.92,0.42
"ENSMUSG00000025505",16,17.99,14.24,13.44,15.63,12.31,15.81,14.98
"ENSMUSG00000025507",0.57,0.17,0.35,0.35,0.48,0.26,0.22,0.19
"ENSMUSG00000025508",211.14,130.23,128.55,159.87,206.86,154.96,245.63,173.45
"ENSMUSG00000025509",15.64,21.07,15.6,13.05,9.24,17.32,11.62,11.02
"ENSMUSG00000025510",15.99,14.47,13.05,10.93,6.86,9.77,8.16,7.85
"ENSMUSG00000025511",21.76,19.81,20.23,11.53,10.63,11.6,17.44,15.4
"ENSMUSG00000025512",37.65,34.91,38.1,36.04,34.58,38.57,34.58,33.56
"ENSMUSG00000025515",0.03,0.02,0.01,0.05,0.01,0.05,0.08,0
"ENSMUSG00000025519",0,0.06,0.17,0.01,0.01,0.08,0.07,0.03
"ENSMUSG00000025521",30.39,25.37,30.47,28.45,20.51,28.1,25.91,21.14
"ENSMUSG00000025525",6.09,3.76,4.27,5.86,3.31,3,2.22,3.34
"ENSMUSG00000025527",0,0,0,0,0,0,0,0
"ENSMUSG00000025528",0.05,0.06,0,0,0,0,0,0
"ENSMUSG00000025529",2.83,2.66,2.05,4.8,3.81,4.96,3.21,4.76
"ENSMUSG00000025531",9.24,9.94,9.16,9.63,9.19,10.61,9.35,9.5
"ENSMUSG00000025532",23.87,25.69,26.28,25.28,29.5,23.82,25.23,25.44
"ENSMUSG00000025533",13.96,15.27,16.26,17.04,17.05,18.23,14.75,19.65
"ENSMUSG00000025534",12.94,11.22,11.17,10.54,9.88,8.16,8.48,11.39
"ENSMUSG00000025537",7.47,12.15,8.43,8.22,7.42,10.35,8.89,5.8
"ENSMUSG00000025538",8.54,8.99,8.25,8.44,8.3,10.45,10.87,8.67
"ENSMUSG00000025544",62.9,57.82,64.6,68.23,65.57,79.92,76.31,74.85
"ENSMUSG00000025545",24.81,20.47,16.37,17.68,18.45,19.74,14.75,14.49
"ENSMUSG00000025551",11.28,15.02,15.73,16,15.39,9.14,14.83,12.33
"ENSMUSG00000025555",8.38,10.77,6.27,9.68,7.67,9.77,10.8,11.09
"ENSMUSG00000025557",0,0,0,0,0,0,0,0.02
"ENSMUSG00000025558",10.08,14.48,7.19,16.63,18.15,21.45,18.31,14.1
"ENSMUSG00000025571",2.98,4.02,3.85,4.3,5.04,3.64,4.37,3.74
"ENSMUSG00000025572",2.31,1.44,1.42,0.77,0.54,2.37,1.06,3.54
"ENSMUSG00000025573",0.18,0.06,0,0.23,0,0.07,0,0
"ENSMUSG00000025574",0.46,0.53,0.28,1.3,0.4,0.72,0.8,0.1
"ENSMUSG00000025575",16.63,18.44,24.38,17.01,18.65,16.36,19.98,18.43
"ENSMUSG00000025576",128.51,134.09,146.65,109.66,103.09,128.01,155.83,137.24
"ENSMUSG00000025577",0.43,0.53,1.09,0.92,0.77,0.8,0.81,0.72
"ENSMUSG00000025578",2.97,2.09,2.71,2.13,3.08,3.19,3.33,2.7
"ENSMUSG00000025579",111.15,109.03,266.38,140.54,125.1,134.17,151.89,137.24
"ENSMUSG00000025580",45.66,46.42,51.97,46.85,43.13,51,53.97,49.13
"ENSMUSG00000025582",64.36,93.68,26.07,75.9,99,74.69,75.14,72.76
"ENSMUSG00000025583",8.27,9.89,9.77,7.19,6.41,12.39,10.79,9.96
"ENSMUSG00000025584",1.16,1.11,1.31,0.88,0.82,0.8,0.64,0.74
"ENSMUSG00000025586",11.13,17.62,7.9,16.31,18.34,17.98,17.65,15.12
"ENSMUSG00000025588",4.13,3.04,1.41,1.82,1.31,2.88,1.66,1.79
"ENSMUSG00000025591",1.7,1.84,1.77,1.89,1.86,1.34,1.27,1.61
"ENSMUSG00000025592",0.32,0.65,0.67,0.44,0.7,0.86,0.54,0.54
"ENSMUSG00000025597",6.68,8.29,5.15,5.48,5.46,6.49,6.15,5.7
"ENSMUSG00000025602",0.52,2.14,1.28,1.35,0.85,1.12,2.07,1.3
"ENSMUSG00000025607",17.95,15.88,17.03,20.12,11.37,14.19,13.18,12.09
"ENSMUSG00000025608",1.79,2.31,4.37,2.19,1.02,1.79,1.92,1.4
"ENSMUSG00000025609",14.16,9.38,12.07,14.31,13.98,14.31,11.48,14.45
"ENSMUSG00000025610",0.08,0.13,0,0.29,0.16,0.18,1.13,0.42
"ENSMUSG00000025612",0.5,0.27,0.69,0.83,0.36,0.81,0.72,0.85
"ENSMUSG00000025613",122.56,110,114.71,118.52,123.23,148.18,120.45,124
"ENSMUSG00000025616",7.12,7.23,5.99,8.7,6.29,6.97,4.98,5.92
"ENSMUSG00000025626",5.81,6.16,5.97,8.29,5.72,7.24,6.12,7.02
"ENSMUSG00000025630",128.81,88.97,85.49,107.61,112.39,121.36,118.23,115.78
"ENSMUSG00000025645",5.64,3.96,5.64,3.57,5.02,3.59,5.74,5.09
"ENSMUSG00000025646",11.63,13.72,9.86,11.17,13.02,9.21,11.39,12
"ENSMUSG00000025647",75.32,72.6,47.73,56.35,83.99,55.03,61.25,69.26
"ENSMUSG00000025648",3.67,3.51,3.48,2.84,3.4,5.11,3.37,3.72
"ENSMUSG00000025650",0.11,0.34,0.22,0.19,0.05,0.02,0.15,0.07
"ENSMUSG00000025651",405.58,396.12,406.16,312.47,392.06,340.61,360.74,443.56
"ENSMUSG00000025652",0.54,0.39,0.22,0,0.1,0,0,0.15
"ENSMUSG00000025656",71.4,83.2,99.51,92.95,84.87,94.86,86,73.28
"ENSMUSG00000025658",32.25,40.59,36.28,38.29,46.43,42.35,43.84,36.21
"ENSMUSG00000025665",1.11,1.34,1.72,1.72,0.74,1.09,1.38,0.69
"ENSMUSG00000025666",59.33,59.02,44.17,54.53,36.88,41.92,30.49,36.89
"ENSMUSG00000025701",0.65,0.86,0.34,0.66,0.83,0.68,1.07,0.42
"ENSMUSG00000025702",11.76,16.12,9.64,9.19,6.11,9.45,9.6,7.94
"ENSMUSG00000025716",0,0.09,0,0.07,0,0,0,0.09
"ENSMUSG00000025722",13.9,16.2,13.99,13.2,14.1,14.72,14.53,16.11
"ENSMUSG00000025723",1.68,2.37,1.07,0.82,2.08,3.8,1.73,14.04
"ENSMUSG00000025724",35.8,28.54,28.79,28.98,32.98,30.28,29.5,32.65
"ENSMUSG00000025726",0.35,0.59,0.05,0.11,0.22,0.18,0.1,0.29
"ENSMUSG00000025727",0.1,0.3,0.83,0.51,0.12,0.15,0.11,0.41
"ENSMUSG00000025728",43.58,52.76,45.82,40.5,38.76,44.77,42.07,40.51
"ENSMUSG00000025730",5.71,6.09,9.66,4.66,4.73,5.54,5.98,6.66
"ENSMUSG00000025731",37.39,33.14,26.59,29.08,41.78,30.82,42.04,32.66
"ENSMUSG00000025732",18.47,24.49,18.14,13.87,18.77,16.64,18.75,18.87
"ENSMUSG00000025733",9.98,12.71,15.66,15.78,12.93,8.89,11.23,11.37
"ENSMUSG00000025735",59.01,34.63,38.28,22.02,18.99,38.54,35.01,41.47
"ENSMUSG00000025736",23.6,28.3,29.45,27.39,23.97,26.19,29.87,28.08
"ENSMUSG00000025737",11,14.49,15.08,13.02,13.79,14.29,14.68,12.23
"ENSMUSG00000025738",235.36,274.26,474.31,284.7,243.55,220.48,339.64,251.1
"ENSMUSG00000025739",184.43,97.3,41.69,93.12,181.1,89.72,187.7,131.67
"ENSMUSG00000025742",5.22,5.57,4.28,5.84,5.96,8.09,6.93,5.75
"ENSMUSG00000025743",24.78,21.83,27.28,16.82,15.75,22.64,26.94,26.78
"ENSMUSG00000025745",21.19,20.55,25.03,20.12,17.7,21.57,17.22,16.38
"ENSMUSG00000025746",0.25,0.03,0.1,0,0,0,0,0
"ENSMUSG00000025747",3.42,6.67,3.75,4.9,3.24,2.47,4.51,3.98
"ENSMUSG00000025754",0.05,0.17,0.34,0.45,0.04,0.14,0,0.14
"ENSMUSG00000025757",32.31,34.47,37.26,33.57,37.87,42.41,27.18,33.87
"ENSMUSG00000025758",2.03,2.87,2.47,1.46,2.53,2.76,1.57,1.09
"ENSMUSG00000025759",9.92,13.87,9.19,13.52,9.82,15.11,16.29,8.78
"ENSMUSG00000025762",1.95,2.01,1,1.11,2.1,1.22,1.96,1.2
"ENSMUSG00000025764",6.42,8.03,11.52,8.33,6,8.51,6.85,9.61
"ENSMUSG00000025766",8.36,6.29,5.4,7.52,5.13,5.43,3.9,4.9
"ENSMUSG00000025774",0,0,0,0,0,0,0,0.06
"ENSMUSG00000025776",3.53,2.76,2.43,3.14,4.01,1.49,1.19,1.47
"ENSMUSG00000025777",26.36,23.35,27.44,28.52,31.03,29.87,31.3,27.88
"ENSMUSG00000025779",2.6,2.75,1.3,3.73,3.44,1.52,2.04,2.66
"ENSMUSG00000025780",4.24,3.59,3.95,3.46,2.01,2.52,2.18,2.5
"ENSMUSG00000025781",426.54,340.63,337.74,346.11,349.09,372.1,337.2,389.26
"ENSMUSG00000025782",4.3,4.33,5.13,5.12,5.76,4.4,5.22,6.2
"ENSMUSG00000025783",0,0,0,0,0,0,0,0
"ENSMUSG00000025784",1.59,0.49,0.28,0.08,0.31,0.15,0.14,0.07
"ENSMUSG00000025785",35.17,27.56,35.24,34.24,36.92,39.18,36.95,35.53
"ENSMUSG00000025786",38.08,39.44,36.8,33.12,37.2,43.01,35.93,40.89
"ENSMUSG00000025787",0.27,0.1,0.07,0.21,0.06,0.12,0.45,0.24
"ENSMUSG00000025789",0.27,0.64,1.97,1.13,0.63,0.73,1.2,0.77
"ENSMUSG00000025790",5.27,6.63,6.02,5.65,6.42,7.15,5.87,6.08
"ENSMUSG00000025791",45.32,43.86,57.51,47.2,36.71,45.95,35.35,47.52
"ENSMUSG00000025792",9.32,11.29,8.61,9.88,8.75,7.84,10.46,10.3
"ENSMUSG00000025793",39.14,44.68,44.91,47,49.18,44.84,54.46,50.62
"ENSMUSG00000025794",157.26,111.05,113.27,137.23,141.16,158.71,165.47,138.35
"ENSMUSG00000025795",0.65,0.81,0.7,1.06,0.81,0.38,0.33,0.38
"ENSMUSG00000025804",0.49,0.12,0.36,0.06,0.05,0.05,0.1,0
"ENSMUSG00000025808",0,0,0,0,0,0,0,0
"ENSMUSG00000025809",16.23,13.68,13.96,13.2,8.72,12.72,11.81,11.06
"ENSMUSG00000025810",6.24,7.16,11.51,9.19,7.41,9.1,7.3,8.17
"ENSMUSG00000025812",2.52,1.76,4.77,3.01,2.5,1.81,2.66,2.2
"ENSMUSG00000025813",27.48,29.66,11.32,17.68,13.15,48.69,29.98,42.22
"ENSMUSG00000025815",1.21,1.29,1.2,2.09,0.86,1.07,0.76,0.88
"ENSMUSG00000025816",28.1,26.94,21.33,26.69,32.91,30.02,28.78,29.69
"ENSMUSG00000025817",11.17,10.1,6.18,7.7,12.58,11.4,7.71,10.76
"ENSMUSG00000025821",1.72,3.59,3.69,2.78,3.09,3.08,3.9,3.6
"ENSMUSG00000025823",26.45,22.98,25.94,26.64,33.69,36.03,31.61,41.28
"ENSMUSG00000025825",141.29,110.23,110.9,119.54,159.09,137.07,122,134.2
"ENSMUSG00000025838",0,0,0,0.05,0,0,0,0
"ENSMUSG00000025839",0,0,0,0,0,0,0,0
"ENSMUSG00000025854",10.07,8.8,23.23,11.02,8.36,8.82,7.61,21.93
"ENSMUSG00000025855",385.37,390.92,281.79,364.12,472.56,465.56,504.3,433.87
"ENSMUSG00000025856",23.84,27.11,15.59,23.11,27.23,26.24,30.71,27.21
"ENSMUSG00000025857",2.04,2.11,2.49,2.02,0.96,2.14,1.55,2.19
"ENSMUSG00000025858",63.84,57.42,69.36,45.21,47.29,47.46,59.8,62.58
"ENSMUSG00000025860",7.41,7.54,7.98,8.09,7.18,6.28,7.06,7.43
"ENSMUSG00000025862",7.25,8.44,8.75,8.84,7.3,9.14,8.09,9.15
"ENSMUSG00000025867",234.66,286.37,332.63,219.59,169.01,114.63,96.36,140.83
"ENSMUSG00000025868",199.67,146.56,130.83,164.18,173.91,174.66,175.51,168.9
"ENSMUSG00000025869",18,13.46,12.41,17.74,21.2,21.3,24.47,20.79
"ENSMUSG00000025870",7.93,5.15,7.4,8.35,7.15,8.92,10.3,7.59
"ENSMUSG00000025871",125,122.87,122.16,119.75,123.29,112.12,108.02,125.49
"ENSMUSG00000025872",19.52,18.58,17.12,20.52,23.42,23.66,20.07,21.03
"ENSMUSG00000025873",22.21,19.81,30.14,19.31,20.77,23.05,24.12,32.8
"ENSMUSG00000025875",29.51,24.94,15.67,19.6,23.18,21.58,13.31,15.53
"ENSMUSG00000025876",10.64,12.6,9.06,9.88,14.15,10.97,15.77,12.51
"ENSMUSG00000025877",0.55,1.28,0.93,0.8,0.96,0.51,0.85,0.74
"ENSMUSG00000025878",3.85,6.34,4.62,5.09,5.08,7.09,4.57,3.97
"ENSMUSG00000025880",2.4,1.09,1.47,2.01,2.41,2.76,2.3,2.26
"ENSMUSG00000025885",6.91,9.42,13.14,7.82,6.83,12.9,4.75,6.53
"ENSMUSG00000025887",0.48,0.21,1.04,0.09,0.21,0.3,0.15,0.14
"ENSMUSG00000025888",0.94,1.04,0.45,0.58,0.68,1.06,0.52,1.81
"ENSMUSG00000025889",450.43,374.98,407.1,484.18,635.86,545.13,592.39,548.42
"ENSMUSG00000025892",13.71,17.88,13.98,19.62,14.92,15.97,12.05,18.21
"ENSMUSG00000025893",6.73,5.58,5.33,5.14,5.45,4.1,5.08,4.23
"ENSMUSG00000025894",10.69,11.1,8.51,12.39,12.7,14.41,13.26,12.83
"ENSMUSG00000025898",1.86,1.73,1.4,2.34,2.12,1.92,1.21,1.57
"ENSMUSG00000025899",10.66,9.63,12.15,13.68,13.95,13,9.83,11.83
"ENSMUSG00000025900",0.03,0.01,0,0.03,0.02,0.04,0,0.03
"ENSMUSG00000025902",2.07,1.43,2.91,1.58,0.88,1.17,2.13,0.86
"ENSMUSG00000025903",12.34,11.37,8.5,12.97,9.04,10.5,13.64,11.31
"ENSMUSG00000025905",4.85,1.81,20.12,5.82,3.31,3.83,3.15,1.44
"ENSMUSG00000025907",22.35,28,23.63,23.86,9.15,26.29,28.54,26.35
"ENSMUSG00000025909",10.39,13.68,13.15,13.1,14.4,14.59,15.2,9.66
"ENSMUSG00000025911",27.08,25.45,18.84,20.27,15.34,19.26,13.94,15.11
"ENSMUSG00000025912",0.31,0.26,0.12,0.65,0.36,0.51,0.07,0.11
"ENSMUSG00000025915",2.92,4.13,3.43,2.57,2.71,4.17,1.86,2.87
"ENSMUSG00000025916",0.25,0.52,0.52,0.87,0.46,0.98,0.86,0.19
"ENSMUSG00000025917",71.09,51.02,43.49,57.51,61.72,60.07,53.97,54.73
"ENSMUSG00000025920",31.9,33.27,27.94,33.57,39.42,35.2,35.26,29.92
"ENSMUSG00000025921",2.27,1.92,6.29,2.13,1.11,1.2,1.1,1.85
"ENSMUSG00000025925",3.28,3.92,3.66,4.53,4.21,3.64,5.59,4.27
"ENSMUSG00000025927",0.1,0.05,0.77,0.43,0.25,0.41,0.19,0.18
"ENSMUSG00000025929",0,0,0,0,0,0,0,0
"ENSMUSG00000025930",1.45,1.46,0.95,1.46,1.13,2.06,1.44,1.39
"ENSMUSG00000025931",28.02,44.02,27.05,37.78,28.12,38.26,21.28,33.89
"ENSMUSG00000025932",4.77,7.02,3.33,3.99,6.61,7.2,3.93,6.28
"ENSMUSG00000025933",37.92,29.56,26.59,26.58,39.73,27.07,26.17,26.83
"ENSMUSG00000025934",0.42,0.34,0.33,0.36,0.5,0.25,0.99,0.34
"ENSMUSG00000025935",15.72,12.74,10.47,11.64,8.44,16.59,16.59,16.64
"ENSMUSG00000025937",3.63,5.2,3.51,4.26,3.87,1.93,2.8,3.18
"ENSMUSG00000025938",2.1,2.87,4.18,2.58,0.9,1.03,1.68,3.55
"ENSMUSG00000025939",36.82,29.18,24.31,29.8,41.32,32.97,38.79,36.34
"ENSMUSG00000025940",38.36,30.29,26.97,28.76,38.16,32.55,33.67,33.17
"ENSMUSG00000025945",0,0,0,0,0,0,0,0
"ENSMUSG00000025946",1.5,1.27,0.37,1.45,3.07,2.99,3.75,1.94
"ENSMUSG00000025949",2.8,3.12,3.12,3.33,2.33,4.13,2.63,2.49
"ENSMUSG00000025950",37.42,33.03,28.49,30.04,32.92,35.77,29.98,34.09
"ENSMUSG00000025952",0,0,0,0,0,0,0,0
"ENSMUSG00000025955",0.07,0,0.17,0,0,0,0,0
"ENSMUSG00000025956",9.1,8.72,7.03,5.73,6.86,6.38,7.36,6.21
"ENSMUSG00000025958",7.49,8.75,10.54,8.96,9.85,11.29,10.36,12.45
"ENSMUSG00000025959",13.73,17.53,12.33,19.55,22.83,17.82,18.13,17.65
"ENSMUSG00000025961",0.41,0.2,0.62,0.69,0.74,0.46,0.53,0.4
"ENSMUSG00000025962",5.17,4.89,4.93,5.2,5.31,5.42,4.32,4.66
"ENSMUSG00000025963",0.34,0.32,0.44,0.85,0.36,1.08,0.13,0.28
"ENSMUSG00000025964",7.46,9.07,7.45,8.13,7.25,7.27,7.21,5.55
"ENSMUSG00000025967",137.22,135.95,134.86,139.26,130.65,138.29,151.29,126.6
"ENSMUSG00000025968",92.23,78.92,100.81,78.56,77.91,93.36,69.84,78.92
"ENSMUSG00000025969",9.82,14.16,6.49,14.47,15.69,12.61,13.86,14.42
"ENSMUSG00000025971",6.13,4.83,5.16,6.23,4.49,3.84,5.82,5.49
"ENSMUSG00000025977",0,0,0,0,0.06,0,0,0
"ENSMUSG00000025978",12.49,13.63,13.57,16.17,12.04,15.56,13.46,14.3
"ENSMUSG00000025979",29.82,27.94,29.5,32.21,31.94,32.3,32.5,32.73
"ENSMUSG00000025980",72.57,61.28,78.45,78.63,89.02,85.21,81.7,83.16
"ENSMUSG00000025981",19.18,10.78,20.14,17.03,14.84,14.99,16.15,12.39
"ENSMUSG00000025982",70.48,69.75,81.54,73.68,81.39,69.25,71.68,72.31
"ENSMUSG00000025983",0,0.03,0,0.04,0,0,0,0
"ENSMUSG00000025986",22.55,24.82,23.17,27.03,35.56,34.07,28.26,28.68
"ENSMUSG00000025991",0.01,0.01,0,0.06,0.01,0.04,0.01,0.09
"ENSMUSG00000025993",2.83,4.99,2.64,3.3,2.99,3.56,2.02,2.99
"ENSMUSG00000025995",15.18,12.42,14.46,13.11,14.97,11.39,18.84,16.07
"ENSMUSG00000025997",0.46,0.6,0.89,1.03,0.3,0.81,0.47,0.96
"ENSMUSG00000026000",126.61,118.37,133.4,116.13,122.6,119.85,130.38,123.7
"ENSMUSG00000026003",30.44,31.16,23.92,29.63,20.98,26.94,24.04,22.08
"ENSMUSG00000026004",1.31,1.45,1.13,1.27,1.84,1.42,0.87,1.21
"ENSMUSG00000026005",17.07,12.64,15.47,11.8,16.53,16.6,17.13,13.53
"ENSMUSG00000026009",0,0,0.02,0,0,0.09,0,0.02
"ENSMUSG00000026011",0,0,0,0,0,0,0.07,0
"ENSMUSG00000026012",0.15,0.02,0,0.04,0.06,0.05,0.08,0.24
"ENSMUSG00000026014",7.57,6.29,5.51,12.8,9.14,9.51,9.4,5.57
"ENSMUSG00000026017",2.67,3.46,4.45,2.75,3.36,3.77,3.55,2.39
"ENSMUSG00000026018",4.49,2.82,4.06,3.82,3.54,6.03,2.93,3.76
"ENSMUSG00000026019",20.94,15.95,20.8,21.94,26.15,34.23,19.97,20.37
"ENSMUSG00000026020",25.89,28.25,24.83,34.45,34.27,38.48,31.6,27.54
"ENSMUSG00000026021",128.11,93.88,85.02,100.53,138.7,138.2,120.24,129.05
"ENSMUSG00000026023",0.32,0.29,0.19,0.17,0.11,0,0,0
"ENSMUSG00000026024",3.36,4.66,4.7,4.51,6.97,7.14,7.21,5.51
"ENSMUSG00000026027",22.67,20.26,20.86,21.48,18.64,24.56,25.18,21.38
"ENSMUSG00000026028",28.49,32.06,33.63,37.07,41.12,48.71,35.45,34.97
"ENSMUSG00000026029",1.51,2.28,1.02,0.83,1.68,1.66,2.09,1.32
"ENSMUSG00000026031",8.11,6.23,5.76,9.49,10.97,10.45,9.84,8.74
"ENSMUSG00000026032",200.13,122.1,112.91,133.37,156.04,122.9,147.17,158.2
"ENSMUSG00000026034",36.39,48.87,63.5,50.17,53.81,56.68,54.99,50.88
"ENSMUSG00000026035",22.28,18.96,21.71,17.21,21.69,19.2,20.16,20.3
"ENSMUSG00000026036",12.83,10.52,12.69,13.08,16.51,14.49,12.23,14.93
"ENSMUSG00000026037",8.27,6.29,10.42,14.93,9.11,10.49,9,7.25
"ENSMUSG00000026039",0.31,0.13,0.26,0.25,0.35,0.16,0.32,0.18
"ENSMUSG00000026042",1.07,1.41,1.19,0.92,0.95,0.92,1.7,0.59
"ENSMUSG00000026043",2.51,3.29,4.78,1.25,0.73,0.86,0.32,0.73
"ENSMUSG00000026047",4.41,3.83,3.57,5.11,4.13,4.99,3.55,4.81
"ENSMUSG00000026048",5.21,3.93,7.26,5.38,4.49,6.46,5.56,5.85
"ENSMUSG00000026049",7.02,4.78,4.09,6.75,7.3,8.67,5.39,7.21
"ENSMUSG00000026051",4.73,3.54,3.71,7.65,3.33,2.22,3.1,1.63
"ENSMUSG00000026058",6.49,7.43,22.39,11.13,8.21,7.26,10.54,8.18
"ENSMUSG00000026062",1.18,0.97,1.63,0.97,0.73,0.58,0.57,0.75
"ENSMUSG00000026063",0,0,0,0,0,0,0,0
"ENSMUSG00000026064",0.35,0.39,0,0.14,0.65,0.35,0.23,0.11
"ENSMUSG00000026065",0.15,0.07,0,0.18,0.1,0.21,0.18,0.6
"ENSMUSG00000026068",0,0.04,0.08,0.03,0,0.03,0,0.03
"ENSMUSG00000026069",0.06,0.05,1.08,0.03,0.02,0.03,0,0
"ENSMUSG00000026070",0,0.02,0.02,0,0,0,0,0
"ENSMUSG00000026072",0.56,0.82,0.79,0.54,0.48,0.46,0.34,0.36
"ENSMUSG00000026073",0.19,0.27,0,0.35,1.25,0.23,0,0.39
"ENSMUSG00000026074",2.37,2.45,2.17,2.24,2.21,2.66,2.03,1.46
"ENSMUSG00000026077",5.52,5.24,19,8.91,6.55,6.38,5.84,5.58
"ENSMUSG00000026078",13.57,9.66,10.92,15.43,14.99,13.51,12.47,12.5
"ENSMUSG00000026080",28.06,28.99,45.34,23.62,13.68,36.9,33.03,38.57
"ENSMUSG00000026082",6.04,8.41,10.27,7.02,6.37,6.62,9.19,4.58
"ENSMUSG00000026083",6.97,6.8,6.05,7.73,9.06,7.86,6.87,7.7
"ENSMUSG00000026085",0,0,0,0,0,0,0,0
"ENSMUSG00000026087",127.09,97.73,88.92,100.74,119.84,128.94,106.97,106.6
"ENSMUSG00000026088",5.55,2.93,3.88,3.89,5.63,2.97,2.86,3.3
"ENSMUSG00000026090",44.5,63.75,53.39,40.3,46.04,49.74,53.92,56.62
"ENSMUSG00000026094",5.47,3.98,3.22,4.89,5.28,6.18,3.61,3.08
"ENSMUSG00000026095",11.17,10.65,9.16,10.21,10.53,13.04,10.24,8.65
"ENSMUSG00000026096",11.1,7.54,9.29,9.12,8.61,9.86,8.61,8.14
"ENSMUSG00000026097",6.46,6.47,6.26,6.72,5.88,6.71,6.87,6.44
"ENSMUSG00000026098",3.87,5.43,6.18,6.68,4.48,2.76,3.09,4.16
"ENSMUSG00000026100",0.32,0.56,0.2,0.23,0.29,0.16,0.12,0.28
"ENSMUSG00000026102",12.75,13.38,18.95,13.27,16.52,11.85,16.68,13.53
"ENSMUSG00000026103",16.96,23.47,14.61,23.72,22.88,19.88,19.58,18.04
"ENSMUSG00000026104",6.06,6.33,6.46,5.11,5.67,5.87,4.54,6.16
"ENSMUSG00000026107",7.55,4.16,4.01,4.8,6.7,6.71,8.27,7.47
"ENSMUSG00000026109",30.85,31.2,25.88,35.07,42.04,42.33,42.33,41.53
"ENSMUSG00000026110",9.02,7.94,11.3,9.76,11.16,13.7,10.99,12.15
"ENSMUSG00000026111",68.84,59.96,59.77,52.23,53.93,49.14,56.52,56.71
"ENSMUSG00000026112",31.56,36.68,42.44,37.4,25.84,26.4,28.46,25.31
"ENSMUSG00000026113",35.96,35.72,41.99,39.42,52.71,33.9,41.81,39.76
"ENSMUSG00000026114",0,0,0,0.04,0,0.02,0.1,0
"ENSMUSG00000026116",2.87,2.83,2.93,3.66,3.71,3.88,3.09,4.01
"ENSMUSG00000026117",1.17,1.19,0.91,1.05,1.24,0.53,1.12,1.28
"ENSMUSG00000026121",2.37,1.74,2.65,2.31,1.36,2.34,2.32,1.8
"ENSMUSG00000026123",146.61,133.24,163.39,134.19,144.28,136.57,137.76,137.8
"ENSMUSG00000026124",0,0,0,0,0,0,0,0
"ENSMUSG00000026125",0,0,0,0,0,0,0,0
"ENSMUSG00000026126",5.32,2.05,1.89,2.38,1.59,1.3,3.77,2.33
"ENSMUSG00000026127",15.02,13.35,11.95,9.78,11.34,10.76,12.93,13.08
"ENSMUSG00000026131",14.83,20.53,18.47,25.11,22.76,21.08,16.36,14.36
"ENSMUSG00000026134",2.39,1.86,3.08,2.43,2.31,4.01,2.4,2.16
"ENSMUSG00000026135",2.77,5.17,5.61,4.36,3.95,4.72,4.37,4.51
"ENSMUSG00000026141",3.04,4.82,2.03,4.19,4.36,4.22,2.57,2.24
"ENSMUSG00000026142",2.98,2.88,2.39,3.26,2.22,2.71,1.74,2.31
"ENSMUSG00000026147",0.3,0.45,0.25,0.56,0.25,0.2,0.07,0.23
"ENSMUSG00000026149",0,0,0,0.05,0,0,0,0
"ENSMUSG00000026150",206.66,154.83,167.18,180.8,176.19,211.89,182.04,189.8
"ENSMUSG00000026153",5.87,7.28,4.62,8.06,5.24,6.9,5.18,6.1
"ENSMUSG00000026154",67.89,50.52,33.31,43.64,71.36,52.27,56.73,53.04
"ENSMUSG00000026155",29.67,27.14,11.96,22.52,19.03,20.78,27.27,23.31
"ENSMUSG00000026156",2.97,2.51,2.82,4.81,4.08,3.74,3.19,3
"ENSMUSG00000026158",5.68,5.32,3.91,6.02,8.9,6.37,5.5,5.54
"ENSMUSG00000026159",3.49,3.96,3.23,3.9,4.02,3.07,4.21,4.02
"ENSMUSG00000026162",2.07,2.85,2.67,2.66,1.66,3.6,2.44,1.63
"ENSMUSG00000026163",23.63,30.98,7.96,22.75,28.28,32.54,25.85,26.22
"ENSMUSG00000026166",0,0,0,0.06,0.07,0,0,0
"ENSMUSG00000026167",4.42,4.22,1.38,1.81,3.23,1.35,0.9,2.32
"ENSMUSG00000026170",2.43,2.02,2.38,1.89,1.83,1.25,1.55,3.18
"ENSMUSG00000026171",20.34,18.27,21.55,20.44,19.6,19.03,20.6,24.24
"ENSMUSG00000026172",14.71,18.14,16.18,12.11,12.67,16.43,15.56,14.81
"ENSMUSG00000026173",7.21,11.33,6.59,8.38,4.29,8.93,5.68,6.73
"ENSMUSG00000026174",11.05,11,11.06,11.75,15.28,13.49,14.84,14.66
