gene,effect_size,abs_coefficient,consistency_score,combined_score,effect_rank,consistency_rank,combined_rank,effect_percentile,consistency_percentile,combined_percentile,z_score,pvalue,padj,significant_moderate_effect,significant_strong_effect,significant_high_consistency,significant_moderate_combined,significant_strong_combined,significant_fdr,significant,significant_lenient,contrast,biology,priority,biological_context,analysis_priority,contrast_description
HEPH,-0.0042942771711194,0.0042942771711194,0.8150829006591293,0.0035001918928702,409.0,112.0,105.0,0.9744984061503844,0.9930620663791488,0.9934995937246078,-0.6559049055671569,0.5118853116795476,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
ARL15,0.006686912260159,0.006686912260159,0.5221039131633137,0.0034912630580087,159.0,1381.0,106.0,0.9901243827739232,0.9137446090380648,0.9934370898181136,1.0876459220504342,0.2767514495998808,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
CEMIP2,0.005858188041595,0.005858188041595,0.5935272101069812,0.00347699400461,205.0,781.0,107.0,0.987249203075192,0.9512469529345584,0.9933745859116194,0.9560642927391014,0.33903975344524,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
APPL2,-0.005220545424201,0.005220545424201,0.6578945847685781,0.0034345685641202,283.0,467.0,108.0,0.982373898368648,0.9708731795737232,0.9933120820051252,-0.802974199778248,0.4219896470315891,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
MYO1E,0.0063665775587989,0.0063665775587989,0.5377245879955062,0.0034234652947465,172.0,1230.0,109.0,0.9893118319894992,0.9231826989186824,0.9932495780986312,1.0367844159115578,0.2998363399968924,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
PPFIBP1,0.0060953436871578,0.0060953436871578,0.5603250385519359,0.003415373686494,190.0,1029.0,110.0,0.9881867616726046,0.9357459841240078,0.993187074192137,0.9937189497945036,0.3203597144682204,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
HK2,-0.0039393941626516,0.0039393941626516,0.8654240413727865,0.0034092464168023,476.0,69.0,111.0,0.970310644415276,0.9957497343583974,0.9931245702856428,-0.5995579527171369,0.5488008766230001,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
ESRRG,0.0098985973397482,0.0098985973397482,0.3424166857372573,0.0033894448945242,55.0,4448.0,112.0,0.9966247890493156,0.7220451278204888,0.9930620663791488,1.5975848693392003,0.1101353960053623,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
BMP2K,-0.0075888290739418,0.0075888290739418,0.4438865460866632,0.003368579126474,127.0,2422.0,113.0,0.9921245077817364,0.8486780423776485,0.9929995624726544,-1.179001126859317,0.2383977271234749,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
TTN-AS1,-0.0072325542830538,0.0072325542830538,0.4642876845491972,0.0033579858814554,134.0,2106.0,114.0,0.9916869804362772,0.8684292768298019,0.9929370585661604,-1.1224331921743227,0.2616782982978045,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
LINC00877,0.0082810676247601,0.0082810676247601,0.4038630090070877,0.0033444168887268,95.0,3121.0,115.0,0.9941246327895492,0.8049878117382336,0.9928745546596662,1.3407597511757368,0.1799984678539745,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
LINC01182,-0.0054283653064564,0.0054283653064564,0.6141516392018149,0.0033338394511465,257.0,669.0,116.0,0.983998999937496,0.958247390461904,0.992812050753172,-0.8359710376863283,0.4031711965880413,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
APOD,-0.0069259389931382,0.0069259389931382,0.4805075408846412,0.0033279659139099,149.0,1879.0,117.0,0.9907494218388648,0.8826176636039752,0.992749546846678,-1.0737500011741132,0.2829347445389825,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
LINC02649,-0.0056378085567939,0.0056378085567939,0.5902147860716899,0.0033275179712612,234.0,804.0,118.0,0.9854365897868615,0.9498093630851928,0.9926870429401836,-0.8692256277059384,0.3847237325816151,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
DIPK2A,-0.0060668321865727,0.0060668321865727,0.5460227034049548,0.0033126281116166,192.0,1140.0,119.0,0.9880617538596164,0.9288080505031564,0.9926245390336896,-0.9373443419353504,0.3485814608542825,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
IGFBP7,0.0048812817998244,0.0048812817998244,0.678632886485659,0.0033125983575647,323.0,376.0,120.0,0.9798737421088818,0.9765610350646916,0.9925620351271954,0.8009548943443854,0.423157758864312,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
ATP2B4,-0.0071561985378523,0.0071561985378523,0.4624261600185416,0.0033092134101893,137.0,2141.0,121.0,0.9914994687167948,0.8662416401025064,0.9924995312207012,-1.11030972198263,0.2668655851688566,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
AP002370.2,0.0057725610606313,0.0057725610606313,0.569383956183381,0.0032868036540124,213.0,938.0,122.0,0.986749171823239,0.941433839614976,0.9924370273142072,0.94246877155627,0.345952692112772,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
AC012405.1,-0.0142573921084625,0.0142573921084625,0.2296679228550728,0.0032744656308809,21.0,7527.0,123.0,0.9987499218701168,0.5295955997249828,0.9923745234077128,-2.237809798781568,0.02523346114891,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
MT-ND2,-0.0102101168753048,0.0102101168753048,0.3153698470082916,0.0032199629969016,52.0,5092.0,125.0,0.996812300768798,0.6817926120382524,0.9922495155947246,-1.595199075550762,0.1106677254332464,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
FBXL7,0.0053622285577833,0.0053622285577833,0.5971151549563829,0.0032018679361923,270.0,757.0,126.0,0.983186449153072,0.9527470466904182,0.9921870116882304,0.8773177622401666,0.38031406716311,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
MAN2A1,-0.0079320806477097,0.0079320806477097,0.4025130877843778,0.0031927662740643,114.0,3153.0,127.0,0.9929370585661604,0.8029876867304206,0.9921245077817364,-1.2335012854504657,0.2173887974245247,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
AC004158.1,0.0086719475511361,0.0086719475511361,0.365573363644485,0.0031702330356173,87.0,3923.0,128.0,0.9946246640415026,0.7548596787299207,0.9920620038752422,1.4028221555625229,0.1606698785085927,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
PLSCR1,0.0057756109675084,0.0057756109675084,0.5482968022052374,0.0031667490242663,212.0,1129.0,129.0,0.9868116757297332,0.9294955934745922,0.991999499968748,0.9429530239856536,0.3457049314905749,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
PFKFB4,-0.0045193870391143,0.0045193870391143,0.6975318937988835,0.0031524166002035,358.0,303.0,130.0,0.9776861053815864,0.9811238202387648,0.991936996062254,-0.6916469806040771,0.4891590504206675,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
TUBA1A,-0.0088693633859592,0.0088693633859592,0.3545721550865285,0.0031448292900051,79.0,4179.0,131.0,0.9951246952934558,0.7388586786674167,0.9918744921557596,-1.382319417057574,0.1668736465947353,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
GRIK4,-0.0081505847227404,0.0081505847227404,0.3856628563382994,0.0031433777849993,102.0,3487.0,132.0,0.9936871054440902,0.7821113819613725,0.9918119882492656,-1.26819451820468,0.2047284941740055,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
FAM222A-AS1,0.0039308354370844,0.0039308354370844,0.7973953056022673,0.0031344297246261,482.0,130.0,133.0,0.969935620976311,0.991936996062254,0.9917494843427714,0.6500466933036841,0.5156620607765001,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
GLDN,-0.0079373413879969,0.0079373413879969,0.3923528123529085,0.0031142382161857,113.0,3343.0,134.0,0.9929995624726544,0.791111944496531,0.9916869804362772,-1.234336565466263,0.2170775159012838,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
ZFHX3,-0.0051067617437879,0.0051067617437879,0.6086947269016776,0.0031084589449869,295.0,706.0,135.0,0.9816238514907182,0.95593474592162,0.9916244765297832,-0.7849080666516761,0.432507472130667,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
AC061958.1,0.00875301433871,0.00875301433871,0.3542479980994495,0.0031007378068238,83.0,4185.0,136.0,0.9948746796674792,0.7384836552284517,0.9915619726232888,1.4156936268590934,0.1568652251456717,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
DYSF,-0.0060669608781324,0.0060669608781324,0.5103262462852135,0.0030961293712965,191.0,1503.0,137.0,0.9881242577661103,0.906119132445778,0.9914994687167948,-0.937364775083948,0.3485709537631358,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
MTSS1,-0.0071681670524452,0.0071681670524452,0.4280351261239109,0.0030682272883706,136.0,2694.0,138.0,0.9915619726232888,0.8316769798112382,0.9914369648103006,-1.112210036484483,0.2660478536208241,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
NKAIN1,0.0079745653220547,0.0079745653220547,0.3840426331173974,0.0030625730642486,111.0,3520.0,139.0,0.9931245702856428,0.7800487530470654,0.9913744609038064,1.2920944998481834,0.1963244204251548,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
KLHL32,-0.0090944322263255,0.0090944322263255,0.3357764969658987,0.0030536965948493,74.0,4577.0,140.0,0.9954372148259266,0.7139821238827426,0.9913119569973124,-1.418054977886147,0.1561747142926259,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
MAST4,0.0078311179940096,0.0078311179940096,0.3898893023428715,0.0030532691312491,117.0,3394.0,141.0,0.992749546846678,0.7879242452653291,0.991249453090818,1.2693184873681291,0.2043274952503337,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
PLPP3,-0.0054366267302051,0.0054366267302051,0.5547941262971687,0.003016208576788,256.0,1071.0,142.0,0.9840615038439904,0.9331208200512532,0.991186949184324,-0.8372827546277813,0.4024336505250616,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
RPL28,-0.0068975537343875,0.0068975537343875,0.4338486944789168,0.0029924946827621,150.0,2596.0,143.0,0.9906869179323708,0.8378023626476655,0.9911244452778298,-1.069243099467626,0.2849601426482808,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
NTN4,0.0050644704434612,0.0050644704434612,0.5896793682227017,0.0029864137314827,303.0,813.0,144.0,0.9811238202387648,0.9492468279267454,0.9910619413713356,0.8300408793573842,0.4065156713107201,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
LDLR,-0.0046845560452827,0.0046845560452827,0.636999969238992,0.0029840620567434,342.0,560.0,145.0,0.9786861678854928,0.9650603162697668,0.9909994374648416,-0.7178718772060275,0.4728362894956848,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
PRKCB,0.0054422224895867,0.0054422224895867,0.5470589821519594,0.0029772166957978,252.0,1137.0,146.0,0.9843115194699668,0.9289955622226388,0.9909369335583474,0.8900188896428997,0.3734557432751122,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
C14orf132,-0.0047600140535473,0.0047600140535473,0.6240169655144855,0.0029703295255009,335.0,614.0,147.0,0.979123695230952,0.9616851053190824,0.9908744296518532,-0.7298528081956526,0.4654801611352543,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
MOBP,-0.0093257075164531,0.0093257075164531,0.3181469858498678,0.002966945737277,66.0,5030.0,148.0,0.99593724607788,0.68566785424089,0.990811925745359,-1.454775974826685,0.1457312914617221,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
PLEKHA5,-0.0092995485716283,0.0092995485716283,0.3161610209832239,0.0029401547710891,67.0,5067.0,149.0,0.9958747421713856,0.6833552097006064,0.9907494218388648,-1.450622558643111,0.1468849901569964,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
ENO2,-0.0050474540129224,0.0050474540129224,0.5777262729332593,0.0029160467946876,306.0,898.0,150.0,0.9809363085192824,0.943933995874742,0.9906869179323708,-0.7754914143043198,0.4380493368298077,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
MID1IP1,-0.0041810335985815,0.0041810335985815,0.6946683320962217,0.0029044316363649,435.0,314.0,151.0,0.9728733045815364,0.9804362772673292,0.9906244140258766,-0.6379245286820918,0.5235228097727838,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
VEGFA,-0.006850375444902,0.006850375444902,0.4235970838627711,0.0029017990618256,153.0,2773.0,152.0,0.9904994062128883,0.8267391711982,0.9905619101193824,-1.0617523129555866,0.2883481436856385,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
SNAP91,-0.0053976686319821,0.0053976686319821,0.5372610245044737,0.0028999569791543,261.0,1237.0,153.0,0.9837489843115196,0.9227451715732232,0.9904994062128883,-0.831097138322348,0.405918756230021,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
PDZRN3,0.0042844858784651,0.0042844858784651,0.6732194761040469,0.0028843993384754,410.0,407.0,154.0,0.9744359022438902,0.9746234139633728,0.990436902306394,0.7061979439141364,0.480065048842359,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
IRS2,-0.0052929351236076,0.0052929351236076,0.544929043620392,0.0028842740748522,275.0,1155.0,155.0,0.9828739296206012,0.927870491905744,0.9903743983999,-0.814467956543045,0.4153769218549599,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
DBNDD2,-0.0090758274327537,0.0090758274327537,0.3155876178453733,0.0028642187594784,75.0,5082.0,156.0,0.9953747109194324,0.682417651103194,0.9903118944934058,-1.4151009806499917,0.1570388907276545,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
SLC15A2,-0.0033628466053542,0.0033628466053542,0.8502183133877614,0.002859153768986,634.0,77.0,157.0,0.9604350271891994,0.995249703106444,0.9902493905869116,-0.5080159592948762,0.6114421510477588,0.9999999507392006,True,False,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
ATP6V0B,-0.0039633585250952,0.0039633585250952,0.7201836957423557,0.0028543461901551,471.0,249.0,158.0,0.9706231639477468,0.9844990311894494,0.9901868866804177,-0.6033629215899027,0.5462672828859669,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
MYLK,-0.0050097747116223,0.0050097747116223,0.5675805287737906,0.0028434505798601,310.0,955.0,159.0,0.9806862928933058,0.9403712732045753,0.9901243827739232,-0.7695088404331595,0.4415912984766863,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
CGNL1,0.0041466911986262,0.0041466911986262,0.6849915940115252,0.0028404486140205,443.0,356.0,160.0,0.9723732733295832,0.9778111131945748,0.9900618788674292,0.684319437074983,0.4937734758307242,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
KCNQ3,0.0071112362738387,0.0071112362738387,0.397536240772047,0.0028269741355436,138.0,3252.0,161.0,0.9914369648103006,0.7967997999874992,0.989999374960935,1.1550184493945044,0.2480828714106246,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
PTPN13,-0.0090463879046441,0.0090463879046441,0.3110859293097858,0.002814203988213,76.0,5204.0,162.0,0.9953122070129384,0.6747921745109069,0.989936871054441,-1.4104266861283117,0.1584137301993327,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
RPLP1,-0.0080433782285468,0.0080433782285468,0.3483153456294693,0.0028016320677048,109.0,4316.0,163.0,0.9932495780986312,0.7302956434777174,0.9898743671479469,-1.2511726852924083,0.2108714814578913,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
PCLO,-0.0045138741344333,0.0045138741344333,0.6190354756153585,0.0027942482216767,362.0,644.0,164.0,0.9774360897556096,0.9598099881242578,0.9898118632414524,-0.6907716629001751,0.4897090460756015,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
RORB,-0.0058447059297316,0.0058447059297316,0.4771930795941096,0.0027890532219306,208.0,1932.0,165.0,0.9870616913557098,0.879304956559785,0.9897493593349584,-0.9020759931490396,0.3670165006160117,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
TSIX,0.0075965142739609,0.0075965142739609,0.3667885216520222,0.0027863142402546,125.0,3893.0,166.0,0.9922495155947246,0.7567347959247452,0.9896868554284642,1.2320690151854587,0.2179233045922999,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
SMAD6,0.0035723006081435,0.0035723006081435,0.7792092802665318,0.0027835697857672,573.0,155.0,167.0,0.9642477654853427,0.9903743983999,0.98962435152197,0.5931199185092342,0.5531009011117374,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
TRERF1,0.0032161701728618,0.0032161701728618,0.8542737140263906,0.0027474896385115,695.0,76.0,168.0,0.9566222888930558,0.9953122070129384,0.989561847615476,0.5365749040496237,0.5915612830196153,0.9999999507392006,True,False,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
KYAT1,-0.0034869949051949,0.0034869949051949,0.7846152684341978,0.0027359494435682,597.0,147.0,169.0,0.9627476717294832,0.9908744296518532,0.9894993437089818,-0.527727746646248,0.5976883122415937,0.9999999507392006,True,False,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
SLC6A8,-0.0039385162384262,0.0039385162384262,0.6941037492081582,0.0027337388874088,477.0,317.0,170.0,0.9702481405087818,0.9802487655478468,0.9894368398024876,-0.5994185593008399,0.5488938037709361,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
EVL,0.0062528347729851,0.0062528347729851,0.4363891600400027,0.0027286693144519,180.0,2557.0,171.0,0.988811800737546,0.8402400150009376,0.9893743358959936,1.0187247758714453,0.3083336468613527,0.9999999507392006,True,True,False,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
ARRB1,-0.0046212876797055,0.0046212876797055,0.5889729992126612,0.0027218136649407,349.0,818.0,172.0,0.9782486405400338,0.9489343083942746,0.9893118319894992,-0.7078263705826904,0.4790530880660653,0.9999999507392006,True,True,True,True,True,False,True,True,caudate_oud_effect,"Cognitive control, executive function, goal-directed behavior",HIGH,"Cognitive control, executive function, goal-directed behavior",HIGH,OUD effects on goal-directed behavior circuits
