Contrast,Database,Pathway,pvalue,p.adjust,GeneRatio
OUD_vs_Control_Female,GO_BP,positive regulation of dendrite extension,0.02988215174314391,0.12973266238737796,7/2058
OUD_vs_Control_Female,GO_BP,axon regeneration,0.029903637830128636,0.12973266238737796,12/2058
OUD_vs_Control_Female,GO_BP,glutamate secretion,0.030189803349924427,0.12980037183384235,8/2058
OUD_Effect_Male_vs_Female,C8_CellType,ZHONG_PFC_C7_ORG_UNDERGOING_NEURONAL_DIFFERENTIATION,0.042894391013204324,0.13024612655831272,13/2057
OUD_vs_Control_Female,GO_BP,response to toxic substance,0.030366857534251893,0.13042416589841285,42/2058
OUD_Effect_Male_vs_Female,GO_MF,G protein-coupled neurotransmitter receptor activity,0.005508737477813627,0.13113250559081974,5/1824
OUD_vs_Control_Female,Reactome,Diseases associated with glycosaminoglycan metabolism,0.005386905396276327,0.13114023792574336,12/1379
OUD_Effect_Male_vs_Female,GO_BP,dendrite arborization,0.0088792573430923,0.1338976573389296,5/1775
OUD_Effect_Male_vs_Female,GO_BP,regulation of neuronal synaptic plasticity,0.008962675671797296,0.1338976573389296,14/1775
OUD_Effect_Male_vs_Female,GO_BP,regulation of postsynapse organization,0.009059117479758547,0.13491081637739008,27/1775
OUD_vs_Control_Male,DO,autoimmune disease,0.11904771510755319,0.13492074378856028,1/3
OUD_vs_Control_Female,KEGG,Complement and coagulation cascades,0.036110509624705855,0.13565223325987108,18/1075
OUD_vs_Control_Female,GO_BP,microglial cell activation,0.031909614748980845,0.13607677934065385,11/2058
OUD_vs_Control_Female,GO_BP,L-glutamate import,0.031909614748980845,0.13607677934065385,11/2058
OUD_Effect_Male_vs_Female,GO_BP,regulation of neuron differentiation,0.009221545920683942,0.1366859430593283,32/1775
OUD_vs_Control_Female,WikiPathways,WP_IMMUNE_RESPONSE_TO_TUBERCULOSIS,0.016271190204851058,0.1371996728315434,8/1231
OUD_vs_Control_Female,GO_BP,commissural neuron axon guidance,0.03301602612615748,0.13853736327134739,5/2058
OUD_Effect_Male_vs_Female,GO_BP,regulation of postsynaptic membrane neurotransmitter receptor levels,0.009457607682861843,0.1387360176113868,23/1775
OUD_Effect_Male_vs_Female,C8_CellType,ZHONG_PFC_C3_ASTROCYTE,0.04760033334765759,0.14055216539662674,57/2057
OUD_Effect_Male_vs_Female,GO_BP,regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,0.009826643918203901,0.14194874687950013,9/1775
OUD_Effect_Male_vs_Female,GO_BP,neuron migration,0.010004980950181446,0.1427092383270856,32/1775
OUD_vs_Control_Female,GO_BP,regulation of neuron migration,0.03460540074970068,0.14373974900146236,12/2058
OUD_vs_Control_Female,WikiPathways,WP_IMMUNE_INFILTRATION_IN_PANCREATIC_CANCER,0.01860332725042386,0.1437525282287022,10/1231
OUD_vs_Control_Female,WikiPathways,WP_MICROGLIA_PATHOGEN_PHAGOCYTOSIS_PATHWAY,0.018890366744379626,0.1437525282287022,12/1231
OUD_vs_Control_Female,WikiPathways,WP_PHOSPHODIESTERASES_IN_NEURONAL_FUNCTION,0.01909548509306641,0.1437525282287022,15/1231
OUD_vs_Control_Male,GO_BP,regulation of innate immune response,0.1393628125091344,0.1440255088384363,1/5
OUD_Effect_Male_vs_Female,GO_BP,negative regulation of humoral immune response,0.0105402713225203,0.1445341069998738,6/1775
OUD_vs_Control_Female,GO_CC,dendrite membrane,0.022390000686209017,0.14564808527190512,11/2168
OUD_vs_Control_Female,GO_BP,response to pain,0.03554974929319194,0.14595838849721182,9/2058
OUD_vs_Control_Female,GO_BP,innate immune response-activating signaling pathway,0.036809761728117917,0.14595838849721182,49/2058
OUD_vs_Control_Female,GO_BP,regulation of axon regeneration,0.036839625328615726,0.14595838849721182,8/2058
OUD_vs_Control_Female,GO_BP,inhibitory synapse assembly,0.036839625328615726,0.14595838849721182,8/2058
OUD_vs_Control_Female,GO_BP,G protein-coupled opioid receptor signaling pathway,0.03721441000586165,0.14595838849721182,4/2058
OUD_vs_Control_Female,GO_BP,complement-dependent cytotoxicity,0.03721441000586165,0.14595838849721182,4/2058
OUD_vs_Control_Female,GO_BP,motor neuron migration,0.03721441000586165,0.14595838849721182,4/2058
OUD_vs_Control_Male,GO_BP,positive regulation of cytokine production,0.14290088457323047,0.14659205133342462,1/5
OUD_Effect_Male_vs_Female,GO_BP,regulation of excitatory synapse assembly,0.010892441048827138,0.1472294948433135,7/1775
OUD_Effect_Male_vs_Female,GO_BP,regulation of axon extension,0.011184213506953561,0.14869503531375963,17/1775
OUD_vs_Control_Male,GO_BP,immune response-activating signaling pathway,0.15169517830893542,0.15198707316190208,1/5
OUD_vs_Control_Male,GO_BP,cytokine-mediated signaling pathway,0.15198707316190208,0.15198707316190208,1/5
OUD_vs_Control_Female,C8_CellType,ZHONG_PFC_C3_ASTROCYTE,0.09487969555645533,0.15722920977926882,63/2407
OUD_Effect_Male_vs_Female,WikiPathways,WP_IRON_METABOLISM_IN_PLACENTA,0.01321963546278943,0.15723934759730088,5/1002
OUD_Effect_Male_vs_Female,GO_BP,immune response-regulating cell surface receptor signaling pathway,0.012314148356922803,0.158161584213237,53/1775
OUD_vs_Control_Female,DO,autoimmune disease of endocrine system,0.051214321028749614,0.1594637657516541,13/1094
OUD_Effect_Male_vs_Female,GO_CC,neuron projection terminus,0.014534603026851221,0.15963838991158258,23/1867
OUD_vs_Control_Female,GO_MF,neurotransmitter receptor activity,0.021475363774896575,0.16331881586834926,20/2121
OUD_Effect_Male_vs_Female,C7_Immunologic,GSE1432_1H_VS_6H_IFNG_MICROGLIA_DN,0.028352639257432213,0.1638600930749819,32/2013
OUD_vs_Control_Female,GO_BP,response to laminar fluid shear stress,0.044083422092570504,0.164583826839772,5/2058
OUD_vs_Control_Female,GO_BP,negative regulation of T-helper 17 type immune response,0.044083422092570504,0.164583826839772,5/2058
OUD_Effect_Male_vs_Female,GO_CC,Schaffer collateral - CA1 synapse,0.015283304886483553,0.1651098019703715,19/1867
OUD_vs_Control_Female,Reactome,Sialic acid metabolism,0.009524178809272343,0.16570294787651083,10/1379
OUD_vs_Control_Female,Reactome,Regulation of necroptotic cell death,0.009524178809272343,0.16570294787651083,10/1379
OUD_Effect_Male_vs_Female,GO_BP,neurotransmitter transport,0.013783010894732281,0.16573795935857924,35/1775
OUD_Effect_Male_vs_Female,C8_CellType,ZHONG_PFC_C1_ASTROCYTE,0.05946595658649285,0.16703920389464283,7/2057
OUD_vs_Control_Female,GO_BP,negative regulation of cytokine production involved in inflammatory response,0.045934844806226414,0.16809206342508198,7/2058
OUD_vs_Control_Female,GO_BP,regulation of neurotransmitter uptake,0.04621195233512808,0.16809206342508198,6/2058
OUD_vs_Control_Female,GO_BP,dopamine transport,0.046366197102489175,0.16809206342508198,10/2058
OUD_Effect_Male_vs_Female,WikiPathways,WP_APOPTOSISRELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER,0.01594206484782066,0.16897397979446246,13/1002
OUD_vs_Control_Female,DO,opiate dependence,0.05733434743960857,0.17091441546870656,14/1094
OUD_vs_Control_Female,Reactome,Diseases of Immune System,0.01122875364053559,0.17095604402852854,9/1379
OUD_Effect_Male_vs_Female,C8_CellType,ZHONG_PFC_MAJOR_TYPES_INTERNEURON,0.06253926499584951,0.17244282627532034,5/2057
OUD_vs_Control_Female,GO_CC,apical dendrite,0.027612515636701435,0.1741918921421646,6/2168
OUD_vs_Control_Female,C7_Immunologic,GSE29949_MICROGLIA_BRAIN_VS_CD8_NEG_DC_SPLEEN_UP,0.059841910909793766,0.17426765687538268,32/2332
OUD_vs_Control_Male,C8_CellType,ZHONG_PFC_C1_NEUROD1_POS_EXCITATORY_NEURON,0.011508940828548808,0.1749337579122894,1/8
OUD_vs_Control_Male,C8_CellType,ZHONG_PFC_C2_SOX5_BCL11B_POS_EXCITATORY_NEURON,0.012939376872868391,0.1749337579122894,1/8
OUD_vs_Control_Male,C8_CellType,DESCARTES_FETAL_PANCREAS_ENS_NEURONS,0.06233297536981275,0.1749337579122894,1/8
OUD_vs_Control_Male,C8_CellType,DESCARTES_FETAL_INTESTINE_ENS_NEURONS,0.06369884118110059,0.1749337579122894,1/8
OUD_vs_Control_Male,C8_CellType,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_IMMATURE_NEURONS,0.06415374275224983,0.1749337579122894,1/8
OUD_vs_Control_Male,C8_CellType,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MATURE_NEURONS,0.08084973453574651,0.1749337579122894,1/8
OUD_vs_Control_Male,C8_CellType,DESCARTES_FETAL_LUNG_VISCERAL_NEURONS,0.08887744091643868,0.1749337579122894,1/8
OUD_vs_Control_Female,DO,heroin dependence,0.06032030862846893,0.17646500226092462,10/1094
OUD_vs_Control_Female,KEGG,Amino sugar and nucleotide sugar metabolism,0.05160756889458255,0.17723811539553605,10/1075
OUD_vs_Control_Female,GO_BP,cellular response to toxic substance,0.04935030220860097,0.17745764510613105,23/2058
OUD_vs_Control_Female,GO_BP,positive regulation of axon extension,0.04971838614232241,0.1780029533714864,9/2058
OUD_vs_Control_Female,GO_BP,dendrite extension,0.04971838614232241,0.1780029533714864,9/2058
OUD_vs_Control_Female,GO_BP,neurotransmitter secretion,0.05030138221221403,0.17934286280620435,27/2058
OUD_vs_Control_Female,GO_BP,signal release from synapse,0.05030138221221403,0.17934286280620435,27/2058
OUD_vs_Control_Male,C8_CellType,LAKE_ADULT_KIDNEY_C17_COLLECTING_SYSTEM_PCS_STRESSED_DISSOC_SUBSET,0.107806893822318,0.17967815637053003,1/8
OUD_vs_Control_Female,Reactome,Protein-protein interactions at synapses,0.013476754344797275,0.18193618365476322,20/1379
OUD_vs_Control_Female,C7_Immunologic,GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_6H_IFNA_STIM_UP,0.06373963102231835,0.18245563004743537,32/2332
OUD_Effect_Male_vs_Female,WikiPathways,WP_NEUROINFLAMMATION,0.019223594604136304,0.18330103587324334,5/1002
OUD_vs_Control_Female,GO_BP,pyramidal neuron development,0.052286322940700306,0.18344901075706022,4/2058
OUD_vs_Control_Female,GO_BP,T-helper 2 cell cytokine production,0.052286322940700306,0.18344901075706022,4/2058
OUD_vs_Control_Female,GO_BP,regulation of T-helper 2 cell cytokine production,0.052286322940700306,0.18344901075706022,4/2058
OUD_Effect_Male_vs_Female,GO_BP,sensory perception of pain,0.016725480810337066,0.18525925649130745,16/1775
OUD_Effect_Male_vs_Female,GO_BP,receptor localization to synapse,0.016725480810337066,0.18525925649130745,16/1775
OUD_vs_Control_Female,GO_BP,activation of innate immune response,0.05325343351700321,0.1861445153353901,51/2058
OUD_Effect_Male_vs_Female,C8_CellType,FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE,0.06978224029900762,0.1861593781253592,24/2057
OUD_vs_Control_Female,C7_Immunologic,GSE29949_MICROGLIA_BRAIN_VS_CD8_POS_DC_SPLEEN_DN,0.06611917978444261,0.18652729815275298,33/2332
OUD_vs_Control_Female,GO_BP,axon extension,0.05483069134217578,0.1907312930857438,21/2058
OUD_Effect_Male_vs_Female,DO,"autoimmune disease of eyes, ear, nose and throat",0.022672356888970523,0.191586190433286,6/920
OUD_vs_Control_Female,DO,drug dependence,0.06809757308510955,0.19247930216336567,16/1094
OUD_vs_Control_Female,GO_BP,regulation of neuron apoptotic process,0.05658847274593854,0.19342704682526463,41/2058
OUD_vs_Control_Female,GO_BP,positive regulation of immune response to tumor cell,0.05711002251879395,0.19342704682526463,5/2058
OUD_vs_Control_Female,GO_BP,regulation of glutamate secretion,0.05711002251879395,0.19342704682526463,5/2058
OUD_vs_Control_Female,GO_BP,negative regulation of neuron projection regeneration,0.05711002251879395,0.19342704682526463,5/2058
OUD_vs_Control_Female,GO_BP,dendrite self-avoidance,0.05711002251879395,0.19342704682526463,5/2058
OUD_vs_Control_Female,GO_BP,synapse pruning,0.05711002251879395,0.19342704682526463,5/2058
OUD_vs_Control_Female,GO_BP,axonal fasciculation,0.05745357826493008,0.19342704682526463,6/2058
OUD_vs_Control_Female,GO_BP,neuron intrinsic apoptotic signaling pathway in response to oxidative stress,0.05745357826493008,0.19342704682526463,6/2058
OUD_vs_Control_Female,GO_BP,axon extension involved in axon guidance,0.05745357826493008,0.19342704682526463,6/2058
OUD_vs_Control_Female,GO_BP,neuron projection fasciculation,0.05745357826493008,0.19342704682526463,6/2058
OUD_vs_Control_Female,GO_BP,neuron projection extension involved in neuron projection guidance,0.05745357826493008,0.19342704682526463,6/2058
OUD_Effect_Male_vs_Female,GO_BP,regulation of neurotransmitter transport,0.019811432713242698,0.19628408945517137,19/1775
OUD_vs_Control_Female,Reactome,TP53 Regulates Transcription of Cell Death Genes,0.014980934266855421,0.19628830354089702,12/1379
OUD_Effect_Male_vs_Female,GO_CC,hippocampal mossy fiber to CA3 synapse,0.021208933399997618,0.1984356461154292,11/1867
OUD_Effect_Male_vs_Female,GO_CC,perineuronal net,0.022282606695814507,0.1984356461154292,4/1867
OUD_Effect_Male_vs_Female,C7_Immunologic,GSE1432_6H_VS_24H_IFNG_MICROGLIA_UP,0.0394457590119309,0.19873809504253084,31/2013
OUD_Effect_Male_vs_Female,C7_Immunologic,GSE29949_MICROGLIA_VS_DC_BRAIN_DN,0.0399591655363585,0.1992641294709709,30/2013
OUD_vs_Control_Female,GO_MF,glutamate-gated receptor activity,0.027339408355874874,0.20048899460974906,6/2121
OUD_Effect_Male_vs_Female,GO_CC,astrocyte projection,0.023642959300200772,0.2005622297162111,6/1867
OUD_Effect_Male_vs_Female,C8_CellType,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_IMMATURE_NEURONS,0.07917821798922743,0.20165045027582967,23/2057
OUD_Effect_Male_vs_Female,GO_BP,multicellular organismal response to stress,0.02102567830155614,0.20455714428604643,18/1775
OUD_vs_Control_Male,C8_CellType,FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA,0.16048108665443672,0.20627446682703263,1/8
OUD_vs_Control_Male,C8_CellType,HE_LIM_SUN_FETAL_LUNG_C7_SST_POS_NEURON_CELL,0.16213393663818942,0.20627446682703263,1/8
OUD_vs_Control_Male,C8_CellType,HU_FETAL_RETINA_MICROGLIA,0.1641959945062046,0.20627446682703263,1/8
OUD_vs_Control_Male,C8_CellType,ZHONG_PFC_C3_ASTROCYTE,0.1650195734616261,0.20627446682703263,1/8
OUD_vs_Control_Female,GO_CC,neurotransmitter receptor complex,0.03625549342347505,0.2066242280063534,11/2168
OUD_vs_Control_Female,GO_CC,perineuronal net,0.036731535781002606,0.2075009565172428,4/2168
OUD_Effect_Male_vs_Female,GO_BP,neuronal action potential propagation,0.022702783025803683,0.2078769342540121,4/1775
OUD_Effect_Male_vs_Female,GO_BP,regulation of translation in response to endoplasmic reticulum stress,0.022702783025803683,0.2078769342540121,4/1775
OUD_Effect_Male_vs_Female,GO_BP,AMPA glutamate receptor clustering,0.022702783025803683,0.2078769342540121,4/1775
OUD_Effect_Male_vs_Female,GO_BP,glutamate receptor clustering,0.022702783025803683,0.2078769342540121,4/1775
OUD_vs_Control_Female,C8_CellType,ZHONG_PFC_C7_SST_LHX6_POS_PUTATIVE_MIGRATING_INTERNEURON,0.13335334282945135,0.20817478363024083,4/2407
OUD_Effect_Male_vs_Female,C7_Immunologic,GSE29949_MICROGLIA_BRAIN_VS_CD8_NEG_DC_SPLEEN_UP,0.043101889820641184,0.20915578406988433,29/2013
OUD_vs_Control_Male,C8_CellType,ZHONG_PFC_MAJOR_TYPES_MICROGLIA,0.1869894709480323,0.20948154253325726,1/8
OUD_vs_Control_Female,WikiPathways,WP_RESOLVIN_E1_AND_RESOLVIN_D1_SIGNALING_DECREASE_INFLAMMATION,0.03060414303210559,0.2104946852903173,5/1231
OUD_vs_Control_Male,C8_CellType,ZHONG_PFC_C3_MICROGLIA,0.20333084435662885,0.21182147959895703,1/8
OUD_Effect_Male_vs_Female,GO_BP,regulation of translation in response to stress,0.024233679679542004,0.2148301372145775,6/1775
OUD_Effect_Male_vs_Female,GO_BP,protein localization to synapse,0.024737283501134896,0.2148301372145775,17/1775
OUD_Effect_Male_vs_Female,GO_BP,astrocyte differentiation,0.024737283501134896,0.2148301372145775,17/1775
OUD_Effect_Male_vs_Female,GO_BP,glutamate receptor signaling pathway,0.024866274870479297,0.2148301372145775,12/1775
OUD_Effect_Male_vs_Female,WikiPathways,WP_PROSTAGLANDIN_AND_LEUKOTRIENE_METABOLISM_IN_SENESCENCE_WP5321,0.026062859190667573,0.21577353211987507,9/1002
OUD_Effect_Male_vs_Female,WikiPathways,WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS,0.02615163251507875,0.21577353211987507,11/1002
OUD_Effect_Male_vs_Female,C7_Immunologic,GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_6H_IFNA_STIM_UP,0.04588810597472713,0.21663454681092112,29/2013
OUD_vs_Control_Female,GO_MF,neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential,0.0307018674224872,0.21738333715232316,13/2121
OUD_vs_Control_Female,C7_Immunologic,GSE14699_NAIVE_VS_DELETIONAL_TOLERANCE_CD8_TCELL_UP,0.0840238955918597,0.21973398782798736,26/2332
OUD_vs_Control_Female,WikiPathways,WP_VITAMIN_A_AND_CAROTENOID_METABOLISM,0.032903465220505204,0.22045321697738487,12/1231
OUD_Effect_Male_vs_Female,C7_Immunologic,GSE29949_MICROGLIA_BRAIN_VS_CD8_POS_DC_SPLEEN_UP,0.04730105767259041,0.2211619510372941,31/2013
OUD_Effect_Male_vs_Female,GO_BP,neuron apoptotic process,0.025929685242444604,0.22196447752180395,45/1775
OUD_Effect_Male_vs_Female,GO_BP,response to chemokine,0.026078968910876035,0.22196447752180395,14/1775
OUD_Effect_Male_vs_Female,GO_BP,cellular response to chemokine,0.026078968910876035,0.22196447752180395,14/1775
OUD_vs_Control_Female,GO_MF,L-glutamate transmembrane transporter activity,0.03223142962353397,0.22197706538212192,5/2121
OUD_vs_Control_Female,Reactome,Chemokine receptors bind chemokines,0.01827093316349375,0.2223961946540018,11/1379
OUD_Effect_Male_vs_Female,GO_MF,glutamate-gated receptor activity,0.01366087995314598,0.22253610336216778,6/1824
OUD_vs_Control_Female,GO_BP,negative regulation of type 2 immune response,0.07017354788116012,0.2231250439007661,4/2058
OUD_vs_Control_Female,GO_BP,peripheral nervous system neuron development,0.07017354788116012,0.2231250439007661,4/2058
OUD_vs_Control_Female,GO_BP,positive regulation of cytokine production involved in inflammatory response,0.07018923996947844,0.2231250439007661,6/2058
OUD_vs_Control_Female,GO_BP,neurotransmitter uptake,0.07045329645478973,0.22338643387690219,10/2058
OUD_vs_Control_Female,GO_BP,stress response to metal ion,0.07210177171940185,0.22620702985754573,5/2058
OUD_vs_Control_Female,GO_BP,dopaminergic neuron differentiation,0.07292073209805948,0.22765979104583972,8/2058
OUD_vs_Control_Female,GO_BP,neurotransmitter reuptake,0.07292073209805948,0.22765979104583972,8/2058
OUD_vs_Control_Female,GO_MF,postsynaptic neurotransmitter receptor activity,0.03358932948150431,0.22804411932837912,15/2121
OUD_vs_Control_Female,GO_MF,complement binding,0.035476269090332316,0.22804411932837912,6/2121
OUD_vs_Control_Female,GO_BP,neuron projection organization,0.07319841403856221,0.22840285616260306,18/2058
OUD_vs_Control_Female,WikiPathways,WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION,0.03547663104356221,0.22989844673026896,8/1231
OUD_Effect_Male_vs_Female,GO_BP,regulation of dendrite extension,0.027620891766763984,0.23059382729399872,7/1775
OUD_Effect_Male_vs_Female,GO_MF,chemokine binding,0.01563218863755248,0.23455384440936822,8/1824
OUD_Effect_Male_vs_Female,GO_BP,regulation of presynapse assembly,0.029333771062542594,0.24064713630354667,8/1775
OUD_Effect_Male_vs_Female,GO_CC,inhibitory synapse,0.032092588546443986,0.24139944828218007,5/1867
OUD_vs_Control_Female,GO_BP,detection of stimulus involved in sensory perception of pain,0.07878764910253452,0.24242677492426043,7/2058
OUD_Effect_Male_vs_Female,GO_BP,T cell cytokine production,0.029945117941465624,0.24320233841731095,9/1775
OUD_Effect_Male_vs_Female,GO_BP,regulation of T cell cytokine production,0.029945117941465624,0.24320233841731095,9/1775
OUD_vs_Control_Female,DO,autoimmune thrombocytopenic purpura,0.09482911650861654,0.2440683818336524,6/1094
OUD_vs_Control_Female,WikiPathways,WP_CYTOKINES_AND_INFLAMMATORY_RESPONSE,0.03884099682648057,0.24550441390322622,7/1231
OUD_Effect_Male_vs_Female,GO_BP,immune response-activating cell surface receptor signaling pathway,0.030759724716394838,0.2460778912708393,47/1775
OUD_Effect_Male_vs_Female,GO_BP,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,0.030775991333855186,0.2460778912708393,13/1775
OUD_vs_Control_Female,C8_CellType,DESCARTES_FETAL_CEREBELLUM_PURKINJE_NEURONS,0.16535296640520097,0.24722374574130437,12/2407
OUD_vs_Control_Female,C8_CellType,FAN_EMBRYONIC_CTX_IN_4_INTERNEURON,0.16689242252297604,0.24722374574130437,3/2407
OUD_vs_Control_Female,C8_CellType,LAKE_ADULT_KIDNEY_C30_IMMUNE_CELLS_MACROPHAGES,0.16689242252297604,0.24722374574130437,3/2407
OUD_Effect_Male_vs_Female,GO_BP,presynapse organization,0.03218976948565408,0.25093783861329466,12/1775
OUD_Effect_Male_vs_Female,GO_BP,positive regulation of astrocyte differentiation,0.032400464277531266,0.25093783861329466,4/1775
OUD_Effect_Male_vs_Female,GO_BP,granzyme-mediated programmed cell death signaling pathway,0.032400464277531266,0.25093783861329466,4/1775
OUD_Effect_Male_vs_Female,GO_BP,protein localization to presynapse,0.032400464277531266,0.25093783861329466,4/1775
OUD_Effect_Male_vs_Female,GO_BP,negative regulation of neuron projection regeneration,0.0327797151236992,0.2521550714867755,5/1775
OUD_vs_Control_Female,GO_BP,positive regulation of myeloid leukocyte cytokine production involved in immune response,0.08441949603801864,0.2551197053495398,8/2058
OUD_Effect_Male_vs_Female,C7_Immunologic,GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_12H_IFNA_STIM_UP,0.06066278055604626,0.25588663798186784,30/2013
OUD_Effect_Male_vs_Female,GO_BP,positive regulation of T cell cytokine production,0.033600246380889445,0.2560383875225629,7/1775
OUD_Effect_Male_vs_Female,GO_BP,ionotropic glutamate receptor signaling pathway,0.033600246380889445,0.2560383875225629,7/1775
OUD_vs_Control_Female,WikiPathways,WP_DISORDERS_OF_FRUCTOSE_METABOLISM,0.04335193106882739,0.25933744478673526,5/1231
OUD_Effect_Male_vs_Female,GO_BP,regulation of presynapse organization,0.03483997500715639,0.2593526984638926,8/1775
OUD_Effect_Male_vs_Female,GO_BP,regulation of humoral immune response,0.034984035262659696,0.2593526984638926,9/1775
OUD_Effect_Male_vs_Female,GO_BP,neurotransmitter receptor internalization,0.034984035262659696,0.2593526984638926,9/1775
OUD_Effect_Male_vs_Female,GO_BP,response to osmotic stress,0.035657341700741016,0.263697104746452,16/1775
OUD_vs_Control_Female,GO_BP,ectopic germ cell programmed cell death,0.08902315124404099,0.2647243190660868,5/2058
OUD_vs_Control_Female,GO_BP,cellular response to fluid shear stress,0.08902315124404099,0.2647243190660868,5/2058
OUD_vs_Control_Female,GO_BP,negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,0.08902315124404099,0.2647243190660868,5/2058
OUD_vs_Control_Female,GO_BP,regulation of microglial cell activation,0.08902315124404099,0.2647243190660868,5/2058
OUD_vs_Control_Female,GO_BP,peripheral nervous system neuron differentiation,0.09075845959537944,0.2654961645785566,4/2058
OUD_Effect_Male_vs_Female,C7_Immunologic,GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_UP,0.06544162396015134,0.2674761677297461,29/2013
OUD_Effect_Male_vs_Female,C8_CellType,FAN_EMBRYONIC_CTX_IN_4_INTERNEURON,0.11702630687737718,0.2692323010982604,3/2057
OUD_vs_Control_Female,C7_Immunologic,GSE1432_1H_VS_6H_IFNG_MICROGLIA_UP,0.11286791541680238,0.27128390918138195,32/2332
OUD_vs_Control_Female,GO_BP,cellular response to chemical stress,0.09414196166748028,0.2738632002625993,49/2058
OUD_vs_Control_Female,DO,autoimmune disease of skin and connective tissue,0.11406535261337039,0.2741060259229462,6/1094
OUD_vs_Control_Female,DO,autoimmune disease of blood,0.11406535261337039,0.2741060259229462,6/1094
OUD_vs_Control_Female,C7_Immunologic,GSE29949_MICROGLIA_BRAIN_VS_MONOCYTE_BONE_MARROW_DN,0.11528715814334428,0.2756030591140203,33/2332
OUD_Effect_Male_vs_Female,GO_CC,axon terminus,0.03947806255733203,0.276766417290232,19/1867
OUD_Effect_Male_vs_Female,WikiPathways,WP_COMPLEMENT_SYSTEM,0.040107383492403385,0.27767509077032787,17/1002
OUD_Effect_Male_vs_Female,WikiPathways,WP_PROSTAGLANDIN_AND_LEUKOTRIENE_METABOLISM_IN_SENESCENCE_WP5122,0.04029390407122077,0.27767509077032787,8/1002
OUD_vs_Control_Female,C8_CellType,FAN_EMBRYONIC_CTX_EX_2_EXCITATORY_NEURON,0.19275679879520224,0.277894122928456,4/2407
OUD_vs_Control_Female,C8_CellType,HE_LIM_SUN_FETAL_LUNG_C7_MFNG_POS_DBH_POS_NEURON_CELL,0.19275679879520224,0.277894122928456,4/2407
OUD_vs_Control_Female,DO,substance abuse,0.11610027983070961,0.2782861669224643,49/1094
OUD_vs_Control_Female,Reactome,Regulation of innate immune responses to cytosolic DNA,0.02571989240668011,0.27836708696038603,5/1379
OUD_Effect_Male_vs_Female,C8_CellType,DESCARTES_FETAL_CEREBELLUM_INHIBITORY_INTERNEURONS,0.12449540631544496,0.2795160303824928,6/2057
OUD_Effect_Male_vs_Female,C8_CellType,DESCARTES_MAIN_FETAL_VISCERAL_NEURONS,0.1248504935708468,0.2795160303824928,10/2057
OUD_vs_Control_Female,GO_MF,cytokine receptor activity,0.04838980286850876,0.2812086657264283,18/2121
OUD_vs_Control_Female,KEGG,Nicotinate and nicotinamide metabolism,0.09596067016547795,0.28259258546611893,9/1075
OUD_Effect_Male_vs_Female,DO,opioid abuse,0.04795303711123794,0.2843978645346031,5/920
OUD_Effect_Male_vs_Female,GO_BP,glutamate secretion,0.04038125505688002,0.28442231384355815,7/1775
OUD_vs_Control_Female,GO_CC,hippocampal mossy fiber to CA3 synapse,0.0552365715022318,0.2850217609267594,11/2168
OUD_Effect_Male_vs_Female,GO_BP,synapse maturation,0.040575877168976045,0.2852661884022487,9/1775
OUD_Effect_Male_vs_Female,GO_BP,chemokine-mediated signaling pathway,0.04093948916982187,0.2855215236626143,12/1775
OUD_Effect_Male_vs_Female,GO_BP,negative regulation of axon extension,0.04100447719073349,0.2855215236626143,8/1775
OUD_Effect_Male_vs_Female,GO_BP,response to pain,0.04100447719073349,0.2855215236626143,8/1775
OUD_Effect_Male_vs_Female,GO_BP,neurotransmitter receptor localization to postsynaptic specialization membrane,0.04100447719073349,0.2855215236626143,8/1775
OUD_Effect_Male_vs_Female,GO_BP,negative regulation of neuron apoptotic process,0.041093154411151626,0.2855215236626143,26/1775
OUD_Effect_Male_vs_Female,GO_BP,positive regulation of type 2 immune response,0.042046150040857065,0.2855215236626143,5/1775
OUD_Effect_Male_vs_Female,GO_BP,regulation of axon extension involved in axon guidance,0.042046150040857065,0.2855215236626143,5/1775
OUD_Effect_Male_vs_Female,GO_BP,stress response to metal ion,0.042046150040857065,0.2855215236626143,5/1775
OUD_Effect_Male_vs_Female,GO_BP,glutamatergic neuron differentiation,0.042046150040857065,0.2855215236626143,5/1775
